,accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,accident_severity_num,accident_severity_inv,date2,date_original,vehicle_reference_x,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,vehicle_reference_y,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,accident_year_x,accident_reference_x,local_authority_ons_district,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,trunk_road_flag,accident_year_y,accident_reference_y,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane,first_point_of_impact,vehicle_left_hand_drive,generic_make_model,accident_year,accident_reference,year,month,severity,hours
125779,2016010003818,527950.0,191000.0,-0.153856,51.60326,1,Serious,1,1,2016-11-28,Monday,18:14,Haringey,E09000014,6,0,1,30.0,1,4,6,0,,,4,1,1,0,0,1,1,E01000164,2,2,28/11/2016,28/11/2016,1,9,0,9,,4,0,0,0,0,,,6,Male,22,21 - 25,1299,1,8,2,1,,1,1,3,1,52,8,2,9,8,0,0,2,0,1,5,2016.0,010003818,E09000014,0.0,0.0,2.0,2016.0,010003818,1.0,7.0,0.0,1.0,1.0,-1,2016.0,010003818,2016,11,2,18
125780,2016010003819,525140.0,182040.0,-0.197597,51.523367,1,Slight,2,1,2016-11-28,Monday,19:25,Westminster,E09000033,3,404,6,30.0,9,2,6,0,,,4,1,1,0,0,1,1,E01004755,3,1,28/11/2016,28/11/2016,1,3,0,18,,1,0,0,0,0,,,1,Male,27,26 - 35,-1,-1,-1,4,1,,1,1,1,1,27,6,3,0,0,0,0,0,3,1,4,2016.0,010003819,E09000033,0.0,0.0,2.0,2016.0,010003819,7.0,3.0,0.0,0.0,1.0,-1,2016.0,010003819,2016,11,1,19
125802,2016010003847,532360.0,168360.0,-0.098702,51.398784,1,Slight,2,1,2016-11-28,Monday,23:14,Croydon,E09000008,4,266,3,30.0,9,2,4,273,,,4,1,1,0,0,1,1,E01001155,3,1,28/11/2016,28/11/2016,1,9,0,9,,8,0,0,0,0,,,6,Female,27,26 - 35,1596,1,10,3,1,,2,1,1,2,41,7,3,0,0,0,0,0,1,1,3,2016.0,010003847,E09000008,2.0,1.0,2.0,2016.0,010003847,2.0,8.0,0.0,1.0,1.0,-1,2016.0,010003847,2016,11,1,23
125805,2016010003850,528350.0,179750.0,-0.152186,51.502067,1,Slight,2,1,2016-11-29,Tuesday,05:20,Westminster,E09000033,3,4,2,30.0,3,4,4,310,,,4,1,1,0,0,1,1,E01004691,3,1,29/11/2016,29/11/2016,1,9,0,7,,6,0,0,0,0,,,1,Male,28,26 - 35,2987,2,3,9,1,,2,1,1,1,43,7,3,0,0,0,0,0,1,1,2,2016.0,010003850,E09000033,0.0,8.0,2.0,2016.0,010003850,7.0,1.0,0.0,1.0,1.0,-1,2016.0,010003850,2016,11,1,5
125808,2016010003854,533140.0,182600.0,-0.082138,51.526572,1,Slight,2,1,2016-11-23,Wednesday,20:15,Hackney,E09000012,3,5201,6,30.0,99,-1,6,0,,,4,1,1,0,0,1,3,E01033708,3,1,23/11/2016,23/11/2016,1,5,0,18,,9,9,99,9,0,,,6,Male,27,26 - 35,-1,-1,-1,7,1,,1,1,1,1,27,6,3,0,0,0,0,0,5,1,7,2016.0,010003854,E09000012,0.0,9.0,2.0,2016.0,010003854,9.0,9.0,99.0,9.0,1.0,-1,2016.0,010003854,2016,11,1,20
125845,2016010003968,540180.0,181730.0,0.018935,51.517052,1,Slight,4,3,2016-11-28,Monday,21:00,Newham,E09000025,3,13,3,50.0,0,-1,-1,-1,,,4,1,1,0,0,1,1,E01003508,3,1,28/11/2016,28/11/2016,1,9,0,15,,0,1,0,0,0,,,6,Male,19,16 - 20,-1,-1,-1,1,1,,3,1,1,1,60,9,3,0,0,0,0,0,10,1,2,2016.0,010003968,E09000025,0.0,0.0,2.0,2016.0,010003968,3.0,7.0,0.0,4.0,1.0,-1,2016.0,010003968,2016,11,3,21
125895,2016010004049,533650.0,178320.0,-0.076411,51.487989,1,Slight,2,1,2016-11-29,Tuesday,21:30,Southwark,E09000028,3,2,3,30.0,6,2,4,214,,,4,1,1,0,0,1,1,E01003966,3,1,29/11/2016,29/11/2016,1,3,0,9,,8,1,0,0,0,,,2,Male,22,21 - 25,125,1,8,2,1,,1,1,1,1,22,5,3,0,0,0,0,0,3,1,2,2016.0,010004049,E09000028,0.0,5.0,2.0,2016.0,010004049,5.0,4.0,0.0,4.0,1.0,-1,2016.0,010004049,2016,11,1,21
125899,2016010004057,531660.0,184190.0,-0.102866,51.541207,1,Slight,2,1,2016-11-29,Tuesday,21:40,Islington,E09000019,3,1,3,20.0,3,4,3,1,,,4,1,1,0,0,1,1,E01002790,3,1,29/11/2016,29/11/2016,1,9,0,9,,1,0,0,0,0,,,6,Male,22,21 - 25,1596,1,7,4,1,,2,1,1,1,20,4,3,0,0,0,0,0,1,1,1,2016.0,010004057,E09000019,0.0,0.0,2.0,2016.0,010004057,5.0,1.0,0.0,3.0,1.0,-1,2016.0,010004057,2016,11,1,21
125900,2016010004058,541670.0,188400.0,0.043079,51.576616,1,Slight,3,2,2016-11-29,Tuesday,23:15,Redbridge,E09000026,3,12,7,30.0,5,4,3,12,,,4,1,1,0,0,1,1,E01003675,3,1,29/11/2016,29/11/2016,1,9,0,16,,8,0,0,0,0,,,6,Male,23,21 - 25,1360,1,13,7,1,,1,1,1,1,23,5,3,0,0,0,0,0,9,1,7,2016.0,010004058,E09000026,0.0,0.0,2.0,2016.0,010004058,7.0,3.0,0.0,3.0,1.0,-1,2016.0,010004058,2016,11,2,23
125902,2016010004061,526170.0,179390.0,-0.183706,51.499322,1,Slight,2,1,2016-11-29,Tuesday,23:43,Kensington and Chelsea,E09000020,4,325,6,30.0,3,4,6,0,,,4,9,2,0,0,1,1,E01002892,3,1,29/11/2016,29/11/2016,1,8,0,7,,5,0,0,0,0,,,6,Male,32,26 - 35,-1,-1,-1,5,1,,2,1,1,1,35,6,3,0,0,0,0,0,1,1,7,2016.0,010004061,E09000020,0.0,0.0,2.0,2016.0,010004061,1.0,3.0,0.0,4.0,1.0,-1,2016.0,010004061,2016,11,1,23
125903,2016010004063,515020.0,183750.0,-0.342844,51.540886,1,Slight,1,1,2016-11-29,Tuesday,22:10,Ealing,E09000009,6,0,6,30.0,9,4,6,0,,,4,1,1,0,0,1,1,E01001266,3,1,29/11/2016,29/11/2016,1,9,0,18,,6,0,0,0,0,,,6,Male,18,16 - 20,1461,2,1,6,1,,1,1,3,2,37,7,3,5,1,0,0,2,0,1,7,2016.0,010004063,E09000009,0.0,0.0,2.0,2016.0,010004063,7.0,3.0,0.0,1.0,1.0,-1,2016.0,010004063,2016,11,1,22
125905,2016010004070,534350.0,181650.0,-0.065068,51.517748,1,Slight,2,1,2016-11-29,Tuesday,23:30,Tower Hamlets,E09000030,3,11,6,30.0,3,4,6,0,,,4,1,1,0,0,1,1,E01004309,3,1,29/11/2016,29/11/2016,1,9,0,7,,2,0,0,0,0,,,6,Female,31,26 - 35,1499,1,2,3,1,,2,1,1,1,21,5,3,0,0,0,0,0,3,1,3,2016.0,010004070,E09000030,0.0,1.0,2.0,2016.0,010004070,1.0,3.0,0.0,3.0,1.0,-1,2016.0,010004070,2016,11,1,23
125909,2016010004113,536190.0,176920.0,-0.040389,51.474802,1,Slight,2,1,2016-11-17,Thursday,00:25,Lewisham,E09000023,3,2,6,30.0,0,-1,-1,-1,,,4,9,-1,0,0,1,3,E01003340,3,1,17/11/2016,17/11/2016,1,3,0,3,,0,0,99,0,0,,,6,Male,35,26 - 35,124,1,7,-1,-1,,1,1,1,1,35,6,3,0,0,0,0,0,3,-1,-1,2016.0,010004113,E09000023,0.0,9.0,2.0,2016.0,010004113,9.0,9.0,0.0,9.0,1.0,-1,2016.0,010004113,2016,11,1,0
125974,2016010004282,527780.0,181140.0,-0.15989,51.514688,1,Slight,2,2,2016-11-30,Wednesday,20:15,Westminster,E09000033,3,5204,6,30.0,9,2,3,5204,,,4,1,1,0,0,1,1,E01004658,3,1,30/11/2016,30/11/2016,1,9,0,3,,1,0,0,0,0,,,6,Male,28,26 - 35,-1,-1,-1,5,1,,1,1,1,1,28,6,3,0,0,0,0,0,9,1,5,2016.0,010004282,E09000033,0.0,5.0,2.0,2016.0,010004282,1.0,5.0,0.0,2.0,2.0,-1,2016.0,010004282,2016,11,2,20
125975,2016010004283,537480.0,183930.0,-0.019096,51.537484,1,Slight,1,2,2016-11-30,Wednesday,19:40,Newham,E09000025,6,0,3,30.0,8,4,6,0,,,4,1,4,0,0,1,1,E01033579,3,1,30/11/2016,30/11/2016,1,9,0,5,,2,1,0,1,2,,,2,Male,25,21 - 25,2979,1,1,3,1,,1,1,1,1,25,5,3,0,0,0,0,0,9,1,3,2016.0,010004283,E09000025,0.0,0.0,2.0,2016.0,010004283,1.0,3.0,0.0,1.0,1.0,-1,2016.0,010004283,2016,11,2,19
125979,2016010004288,515570.0,173100.0,-0.338401,51.445053,1,Slight,1,1,2016-11-30,Wednesday,21:15,Richmond upon Thames,E09000027,3,305,6,30.0,3,4,6,0,,,4,1,4,0,0,1,1,E01003884,3,1,30/11/2016,30/11/2016,1,4,0,18,,1,1,0,0,0,,,6,Male,21,21 - 25,108,1,1,3,1,,1,1,1,1,21,5,3,0,0,0,0,0,4,1,3,2016.0,010004288,E09000027,0.0,7.0,2.0,2016.0,010004288,3.0,7.0,0.0,0.0,1.0,-1,2016.0,010004288,2016,11,1,21
125981,2016010004291,546130.0,180670.0,0.104189,51.50602,1,Slight,1,2,2016-11-30,Wednesday,21:00,Greenwich,E09000011,6,0,6,30.0,0,-1,-1,-1,,,4,1,1,1,0,1,1,E01033743,3,1,30/11/2016,30/11/2016,1,9,0,18,,0,0,7,0,0,,,6,Male,21,21 - 25,1242,1,7,6,1,,1,1,2,1,22,5,3,0,0,2,0,0,9,1,2,2016.0,010004291,E09000011,0.0,0.0,2.0,2016.0,010004291,6.0,4.0,0.0,4.0,1.0,-1,2016.0,010004291,2016,11,2,21
125983,2016010004293,513180.0,171880.0,-0.373167,51.43457,1,Slight,2,1,2016-11-30,Wednesday,20:55,Richmond upon Thames,E09000027,3,312,6,30.0,3,4,6,0,,,4,1,1,0,0,1,1,E01003829,3,1,30/11/2016,30/11/2016,1,9,0,10,,1,0,0,0,0,,,6,Female,20,16 - 20,1299,1,12,10,1,,1,1,1,2,20,4,3,0,0,0,0,0,9,1,10,2016.0,010004293,E09000027,0.0,0.0,2.0,2016.0,010004293,1.0,3.0,0.0,2.0,1.0,-1,2016.0,010004293,2016,11,1,20
125984,2016010004294,529710.0,180310.0,-0.132396,51.50679,1,Slight,2,2,2016-11-30,Wednesday,20:25,Westminster,E09000033,5,0,3,30.0,6,4,5,0,,,4,1,1,0,0,1,1,E01004736,3,1,30/11/2016,30/11/2016,1,3,0,18,,8,0,0,0,0,,,1,Male,21,21 - 25,-1,-1,-1,4,1,,1,1,1,1,21,5,3,0,0,0,0,0,3,1,4,2016.0,010004294,E09000033,0.0,4.0,2.0,2016.0,010004294,3.0,7.0,0.0,1.0,1.0,-1,2016.0,010004294,2016,11,2,20
125993,2016010004306,554770.0,186060.0,0.230952,51.55215,1,Slight,1,1,2016-11-30,Wednesday,22:42,Havering,E09000016,5,0,6,30.0,0,-1,-1,-1,,,4,1,1,0,0,1,1,E01002292,3,1,30/11/2016,30/11/2016,1,9,0,18,,0,1,7,8,10,,,6,Male,28,26 - 35,1968,2,8,6,1,,1,1,1,1,28,6,3,0,0,0,0,0,9,1,6,2016.0,010004306,E09000016,0.0,0.0,2.0,2016.0,010004306,5.0,1.0,0.0,1.0,1.0,-1,2016.0,010004306,2016,11,1,22
125994,2016010004307,541230.0,183120.0,0.034614,51.529281,1,Serious,2,1,2016-11-30,Wednesday,21:19,Newham,E09000025,3,124,6,30.0,3,4,6,0,,,4,1,1,0,0,1,1,E01003605,2,2,30/11/2016,30/11/2016,1,9,0,9,,5,0,0,0,0,,,2,Male,26,26 - 35,2993,2,3,2,1,,2,1,1,1,17,4,2,0,0,0,0,0,3,1,2,2016.0,010004307,E09000025,0.0,0.0,2.0,2016.0,010004307,3.0,1.0,0.0,3.0,1.0,-1,2016.0,010004307,2016,11,2,21
125998,2016010004313,536500.0,186920.0,-0.032058,51.564591,1,Fatal,3,1,2016-11-30,Wednesday,21:05,Waltham Forest,E09000031,3,1006,6,30.0,0,-1,-1,-1,,,4,1,2,0,0,1,1,E01004427,1,3,30/11/2016,30/11/2016,1,4,0,18,,0,0,0,0,0,,,6,Male,23,21 - 25,471,1,3,2,1,,1,1,1,1,23,5,1,0,0,0,0,0,4,1,2,2016.0,010004313,E09000031,0.0,0.0,2.0,2016.0,010004313,1.0,5.0,0.0,1.0,1.0,-1,2016.0,010004313,2016,11,3,21
126000,2016010004316,529020.0,170710.0,-0.145834,51.420672,1,Slight,2,2,2016-11-30,Wednesday,22:40,Wandsworth,E09000032,3,216,6,30.0,6,2,6,0,,,4,1,1,0,0,1,1,E01004522,3,1,30/11/2016,30/11/2016,1,9,0,13,,1,0,0,7,0,,,2,Male,32,26 - 35,1339,1,6,3,1,,1,1,1,1,32,6,3,0,0,0,0,0,9,1,3,2016.0,010004316,E09000032,0.0,0.0,2.0,2016.0,010004316,2.0,6.0,0.0,1.0,1.0,-1,2016.0,010004316,2016,11,2,22
126002,2016010004319,542290.0,177570.0,0.047648,51.479143,1,Serious,1,2,2016-11-30,Wednesday,22:40,Greenwich,E09000011,5,0,3,30.0,0,-1,-1,-1,,,4,1,1,0,0,1,1,E01001588,2,2,30/11/2016,30/11/2016,1,9,0,18,,0,1,10,2,10,,,6,Male,34,26 - 35,-1,-1,-1,4,1,,1,1,1,1,34,6,2,0,0,0,0,0,9,1,4,2016.0,010004319,E09000011,0.0,0.0,2.0,2016.0,010004319,3.0,7.0,0.0,4.0,1.0,-1,2016.0,010004319,2016,11,4,22
126009,2016010004345,533940.0,186120.0,-0.069274,51.558015,1,Serious,1,1,2016-11-25,Friday,22:00,Hackney,E09000012,5,0,6,30.0,6,4,3,10,,,4,1,1,0,0,1,3,E01001832,2,2,25/11/2016,25/11/2016,1,3,0,18,,1,2,0,0,0,,,6,Male,22,21 - 25,124,1,7,2,1,,1,1,1,1,22,5,2,0,0,0,0,0,3,1,2,2016.0,010004345,E09000012,0.0,8.0,2.0,2016.0,010004345,9.0,9.0,0.0,1.0,1.0,-1,2016.0,010004345,2016,11,2,22
126032,2016010004418,530180.0,170840.0,-0.129113,51.421576,1,Slight,2,1,2016-11-23,Wednesday,19:47,Lambeth,E09000022,3,23,3,30.0,3,2,4,272,,,1,1,1,9,9,1,3,E01003145,3,1,23/11/2016,23/11/2016,1,9,9,18,,9,9,99,0,0,,,6,Male,27,26 - 35,1598,1,7,9,1,,1,1,1,1,27,6,3,0,0,0,0,0,9,1,9,2016.0,010004418,E09000022,0.0,9.0,2.0,2016.0,010004418,9.0,9.0,0.0,9.0,9.0,-1,2016.0,010004418,2016,11,1,19
126041,2016010004440,538480.0,186670.0,-0.003608,51.561862,1,Slight,2,1,2016-11-15,Tuesday,01:04,Waltham Forest,E09000031,4,161,6,30.0,0,-1,-1,-1,,,1,8,1,0,0,1,1,E01004375,3,1,15/11/2016,15/11/2016,1,3,0,4,,0,0,0,0,0,,,6,Male,20,16 - 20,125,1,8,3,1,,1,1,1,1,20,4,3,0,0,0,0,0,3,1,3,2016.0,010004440,E09000031,0.0,4.0,2.0,2016.0,010004440,0.0,0.0,0.0,1.0,1.0,-1,2016.0,010004440,2016,11,1,1
126044,2016010004450,545510.0,164370.0,0.08857,51.359712,1,Serious,1,1,2016-11-30,Wednesday,20:53,Bromley,E09000006,3,223,6,30.0,3,4,3,223,,,4,7,2,0,0,1,1,E01000686,2,2,30/11/2016,30/11/2016,1,9,0,18,,1,0,0,0,0,,,6,Male,30,26 - 35,-1,-1,-1,3,1,,1,1,3,2,17,4,2,5,1,0,0,2,0,1,3,2016.0,010004450,E09000006,0.0,0.0,2.0,2016.0,010004450,3.0,5.0,0.0,1.0,1.0,-1,2016.0,010004450,2016,11,2,20
126065,2016010004491,536700.0,174240.0,-0.034086,51.450596,1,Slight,3,1,2016-01-12,Tuesday,18:15,Lewisham,E09000023,6,0,6,20.0,3,4,6,0,,,4,1,1,0,0,1,1,E01003227,3,1,01/12/2016,01/12/2016,1,9,0,15,,8,0,4,0,0,,,6,Female,23,21 - 25,1242,1,7,3,1,,2,1,1,1,30,6,3,0,0,0,0,0,1,1,6,2016.0,010004491,E09000023,0.0,0.0,2.0,2016.0,010004491,5.0,1.0,0.0,3.0,1.0,-1,2016.0,010004491,2016,1,1,18
126068,2016010004494,535900.0,181170.0,-0.042927,51.513064,1,Serious,2,1,2016-01-12,Tuesday,18:05,Tower Hamlets,E09000030,3,13,3,20.0,3,4,6,0,,,4,1,1,0,0,1,1,E01004288,2,2,01/12/2016,01/12/2016,1,9,0,10,,6,0,0,0,0,,,6,Male,31,26 - 35,1995,2,12,2,1,,2,1,1,1,35,6,2,0,0,0,0,0,5,1,10,2016.0,010004494,E09000030,0.0,0.0,2.0,2016.0,010004494,1.0,7.0,0.0,1.0,1.0,-1,2016.0,010004494,2016,1,2,18
126069,2016010004495,544090.0,185090.0,0.076622,51.54626,1,Slight,2,6,2016-01-12,Tuesday,18:30,Redbridge,E09000026,3,123,6,30.0,3,2,6,0,,,4,1,1,0,0,1,1,E01003734,3,1,01/12/2016,01/12/2016,1,9,0,18,,8,0,0,0,0,,,6,Male,31,26 - 35,1753,2,10,5,1,,1,1,1,1,31,6,3,0,0,0,0,0,9,1,5,2016.0,010004495,E09000026,0.0,1.0,2.0,2016.0,010004495,0.0,5.0,0.0,1.0,1.0,-1,2016.0,010004495,2016,1,6,18
126074,2016010004501,522500.0,167530.0,-0.240654,51.393537,1,Slight,2,1,2016-01-12,Tuesday,18:34,Merton,E09000024,5,0,6,30.0,3,4,6,0,,,4,8,2,0,0,1,1,E01003469,3,1,01/12/2016,01/12/2016,1,9,0,18,,1,0,0,1,0,,,2,Male,20,16 - 20,1229,1,4,8,1,,1,1,1,1,20,4,3,0,0,0,0,0,9,1,8,2016.0,010004501,E09000024,0.0,1.0,2.0,2016.0,010004501,3.0,7.0,0.0,1.0,1.0,-1,2016.0,010004501,2016,1,1,18
126080,2016010004507,539410.0,187090.0,0.009966,51.565407,1,Slight,2,1,2016-01-12,Tuesday,18:38,Waltham Forest,E09000031,3,11,6,30.0,6,4,6,0,,,4,1,1,0,0,1,1,E01004440,3,1,01/12/2016,01/12/2016,1,9,0,9,,8,0,0,0,0,,,2,Male,28,26 - 35,1299,1,11,6,1,,2,1,1,2,30,6,3,0,0,0,0,0,1,1,7,2016.0,010004507,E09000031,0.0,0.0,2.0,2016.0,010004507,1.0,7.0,0.0,1.0,1.0,-1,2016.0,010004507,2016,1,1,18
126082,2016010004509,516590.0,176880.0,-0.322485,51.478818,1,Slight,2,1,2016-01-12,Tuesday,18:09,Hounslow,E09000018,3,315,3,30.0,3,4,6,0,,,4,1,1,0,0,1,1,E01002682,3,1,01/12/2016,01/12/2016,1,2,0,18,,1,0,0,0,0,,,2,Male,35,26 - 35,124,1,0,2,1,,1,1,1,1,35,6,3,0,0,0,0,0,2,1,2,2016.0,010004509,E09000018,0.0,0.0,2.0,2016.0,010004509,7.0,3.0,0.0,1.0,1.0,-1,2016.0,010004509,2016,1,1,18
126090,2016010004519,513210.0,184460.0,-0.368704,51.547633,1,Slight,1,1,2016-01-12,Tuesday,20:52,Ealing,E09000009,3,312,6,30.0,0,-1,-1,-1,,,4,1,1,0,0,1,1,E01001322,3,1,01/12/2016,01/12/2016,1,9,0,13,,0,0,0,0,0,,,2,Male,32,26 - 35,2148,2,9,9,1,,1,1,3,2,57,9,3,8,3,0,0,2,0,1,5,2016.0,010004519,E09000009,0.0,8.0,2.0,2016.0,010004519,1.0,5.0,0.0,1.0,1.0,-1,2016.0,010004519,2016,1,1,20
126091,2016010004520,529930.0,173980.0,-0.131555,51.449852,1,Slight,3,1,2016-11-30,Wednesday,20:25,Lambeth,E09000022,4,221,6,30.0,3,4,6,0,,,4,1,1,0,1,1,1,E01003159,3,1,30/11/2016,30/11/2016,1,9,0,18,,1,0,0,0,0,,,6,Female,21,21 - 25,1364,1,8,1,1,,1,1,1,2,21,5,3,0,0,0,0,0,9,1,1,2016.0,010004520,E09000022,1.0,5.0,2.0,2016.0,010004520,5.0,1.0,0.0,2.0,1.0,-1,2016.0,010004520,2016,11,1,20
126095,2016010004524,505690.0,176980.0,-0.479355,51.481857,1,Slight,1,1,2016-01-12,Tuesday,22:03,Hillingdon,E09000017,3,4,3,50.0,3,4,4,3378,,,4,1,1,0,0,1,1,E01002444,3,1,01/12/2016,01/12/2016,1,9,0,18,,8,0,0,0,0,,,6,Male,26,26 - 35,1995,2,13,7,1,,1,1,3,1,59,9,3,5,1,0,0,2,0,-1,-1,2016.0,010004524,E09000017,0.0,0.0,2.0,2016.0,010004524,3.0,7.0,8.0,4.0,1.0,-1,2016.0,010004524,2016,1,1,22
126096,2016010004526,525200.0,164940.0,-0.202778,51.369671,1,Slight,2,1,2016-01-12,Tuesday,22:05,Sutton,E09000029,6,0,6,30.0,3,4,6,0,,,4,8,2,0,0,1,1,E01004148,3,1,01/12/2016,01/12/2016,1,9,0,9,,6,0,0,0,0,,,2,Male,29,26 - 35,1339,1,7,8,1,,2,1,1,1,30,6,3,0,0,0,0,0,2,1,8,2016.0,010004526,E09000029,0.0,0.0,2.0,2016.0,010004526,3.0,1.0,0.0,3.0,1.0,-1,2016.0,010004526,2016,1,1,22
126097,2016010004527,525670.0,182190.0,-0.189908,51.524598,1,Fatal,2,1,2016-01-12,Tuesday,23:15,Westminster,E09000033,4,413,6,30.0,6,2,5,0,,,4,1,1,0,0,1,1,E01004756,1,3,01/12/2016,01/12/2016,1,8,0,9,,8,0,0,0,0,,,1,Male,22,21 - 25,-1,-1,-1,4,1,,2,1,1,1,24,5,1,0,0,0,0,0,4,1,1,2016.0,010004527,E09000033,0.0,8.0,2.0,2016.0,010004527,4.0,6.0,0.0,1.0,1.0,-1,2016.0,010004527,2016,1,3,23
126103,2016010004534,529970.0,180810.0,-0.128468,51.511223,1,Serious,1,1,2016-02-12,Friday,03:00,Westminster,E09000033,3,400,6,30.0,3,2,3,4201,,,4,1,1,0,0,1,1,E01004734,2,2,02/12/2016,02/12/2016,1,8,0,18,,8,0,0,0,0,,,1,Male,28,26 - 35,1798,8,4,6,1,,1,1,3,1,24,5,2,1,3,0,0,2,0,1,5,2016.0,010004534,E09000033,0.0,5.0,2.0,2016.0,010004534,1.0,5.0,0.0,1.0,1.0,-1,2016.0,010004534,2016,2,2,3
126104,2016010004535,530880.0,181920.0,-0.11495,51.520989,1,Slight,2,1,2016-01-12,Tuesday,22:44,Camden,E09000007,3,401,6,20.0,3,4,6,0,,,4,1,2,0,0,1,1,E01000914,3,1,01/12/2016,01/12/2016,1,8,0,3,,8,0,0,0,0,,,1,Male,27,26 - 35,1995,2,3,2,1,,2,1,1,2,18,4,3,0,0,0,0,0,1,1,2,2016.0,010004535,E09000007,0.0,0.0,2.0,2016.0,010004535,7.0,3.0,0.0,0.0,1.0,-1,2016.0,010004535,2016,1,1,22
126106,2016010004538,512430.0,183790.0,-0.380162,51.541767,1,Slight,1,1,2016-02-12,Friday,00:50,Ealing,E09000009,3,312,3,30.0,0,-1,-1,-1,,,4,1,1,0,0,1,1,E01001326,3,1,02/12/2016,02/12/2016,1,9,0,18,,0,0,10,6,6,,,6,Male,30,26 - 35,2143,2,2,3,1,,1,1,2,1,24,5,3,0,0,2,0,0,9,1,6,2016.0,010004538,E09000009,0.0,0.0,2.0,2016.0,010004538,1.0,5.0,0.0,1.0,1.0,-1,2016.0,010004538,2016,2,1,0
126109,2016010004543,526920.0,177500.0,-0.173586,51.482169,1,Slight,2,2,2016-01-12,Tuesday,05:30,Kensington and Chelsea,E09000020,3,3220,3,30.0,6,2,3,3212,,,4,1,1,0,0,1,1,E01002840,3,1,01/12/2016,01/12/2016,1,9,3,9,,1,0,0,1,2,,,2,Male,31,26 - 35,2656,1,14,4,1,,1,1,1,1,31,6,3,0,0,0,0,0,9,1,4,2016.0,010004543,E09000020,0.0,5.0,2.0,2016.0,010004543,7.0,5.0,0.0,1.0,1.0,-1,2016.0,010004543,2016,1,2,5
126118,2016010004581,537370.0,189700.0,-0.018427,51.589361,1,Slight,2,1,2016-11-23,Wednesday,18:00,Waltham Forest,E09000031,3,112,6,30.0,3,2,6,0,,,4,1,1,0,0,1,3,E01004408,3,1,23/11/2016,23/11/2016,1,9,9,9,,9,9,0,9,99,,,6,Male,19,16 - 20,-1,-1,-1,2,1,,2,1,1,2,48,8,3,0,0,0,0,0,1,1,4,2016.0,010004581,E09000031,0.0,1.0,2.0,2016.0,010004581,9.0,9.0,99.0,9.0,9.0,-1,2016.0,010004581,2016,11,1,18
126124,2016010004622,530170.0,181340.0,-0.125392,51.51594,1,Slight,2,1,2016-11-15,Tuesday,19:40,Camden,E09000007,3,401,2,20.0,3,4,6,0,,,4,2,2,0,0,1,3,E01000919,3,1,15/11/2016,15/11/2016,1,3,9,18,,1,0,99,0,0,,,6,Male,25,21 - 25,-1,-1,-1,-1,-1,,1,1,1,1,25,5,3,0,0,0,0,0,3,-1,-1,2016.0,010004622,E09000007,0.0,1.0,2.0,2016.0,010004622,9.0,9.0,0.0,2.0,1.0,-1,2016.0,010004622,2016,11,1,19
126141,2016010004659,531150.0,165200.0,-0.117252,51.370666,1,Slight,2,3,2016-11-24,Thursday,19:30,Croydon,E09000008,3,23,6,30.0,3,4,6,0,,,4,1,1,9,0,1,3,E01001165,3,1,24/11/2016,24/11/2016,1,9,0,3,,1,0,0,0,0,,,6,Female,33,26 - 35,1390,1,12,2,1,,1,1,1,2,33,6,3,0,0,0,0,0,9,1,2,2016.0,010004659,E09000008,2.0,4.0,2.0,2016.0,010004659,9.0,9.0,0.0,2.0,1.0,-1,2016.0,010004659,2016,11,3,19
126168,2016010004721,523210.0,169170.0,-0.229885,51.408123,1,Slight,2,1,2016-02-12,Friday,18:11,Merton,E09000024,4,279,6,30.0,8,4,6,0,,,4,2,2,0,0,1,1,E01003446,3,1,02/12/2016,02/12/2016,1,5,0,14,,6,0,0,0,0,,,1,Male,25,21 - 25,599,1,4,7,1,,1,1,1,1,25,5,3,0,0,0,0,0,5,1,7,2016.0,010004721,E09000024,0.0,0.0,2.0,2016.0,010004721,3.0,7.0,0.0,1.0,1.0,-1,2016.0,010004721,2016,2,1,18
